Pais;Sector;Milions_Euros
Belgica;Agricultura;4718
Belgica;Industria;87578
Belgica;Construccio;31698
Belgica;Finances;31953
Belgica;Administracio;129304
Belgica;Arts;11396
Alemanya;Agricultura;38952
Alemanya;Industria;924672
Alemanya;Construccio;199904
Alemanya;Finances;158878
Alemanya;Administracio;827319
Alemanya;Arts;139183
Espanya;Agricultura;45311
Espanya;Industria;240364
Espanya;Construccio;90193
Espanya;Finances;76595
Espanya;Administracio;264101
Espanya;Arts;61936
Franca;Agricultura;41802
Franca;Industria;352843
Franca;Construccio;146958
Franca;Finances;97285
Franca;Administracio;577960
Franca;Arts;83701
Italia;Agricultura;46640
Italia;Industria;396830
Italia;Construccio;114397
Italia;Finances;107593
Italia;Administracio;317339
Italia;Arts;70505
Portugal;Agricultura;6013
Portugal;Industria;42258
Portugal;Construccio;13570
Portugal;Finances;15048
Portugal;Administracio;49120
Portugal;Arts;7995